Species,Species_model,sla,lnm,lpm,CHELSA_bio10_1,CHELSA_bio10_4,CHELSA_bio10_12,CHELSA_bio10_15,PFTs,Realm,KG_classes,KG_classORD,Ancestral_DECJ_family,Ancestral_description_family
Poulsenia_armata,Poulsenia_armata,NA,20.5,1.284,1.286315052540686,-1.2487195658858055,0.8032763659038469,0.7809499345294488,PFT6,Panamanian,Am,AFM,B,BShSk
Pourouma_bicolor,Pourouma_bicolor,NA,20.09749174,0.983,1.286315052540686,-1.2487195658858055,0.8032763659038469,0.7809499345294488,PFT4,Panamanian,Am,AFM,B,BShSk
Sterculia_apetala,Sterculia_apetala,NA,21.13,0.9115862,1.286315052540686,-1.2487195658858055,0.8032763659038469,0.7809499345294488,PFT4,Panamanian,Am,AFM,B,BShSk
Handroanthus_guayacan,Handroanthus_guayacan,NA,31.25,1.204,1.286315052540686,-1.2487195658858055,0.8032763659038469,0.7809499345294488,PFT4,Panamanian,Am,AFM,F,Dfad
Tapirira_guianensis,Tapirira_guianensis,NA,12.815,0.901,1.286315052540686,-1.2487195658858055,0.8032763659038469,0.7809499345294488,PFT4,Panamanian,Am,AFM,C,BWhWk
Trattinnickia_aspera,Trattinnickia_aspera,NA,17.89993525,0.5625215,1.286315052540686,-1.2487195658858055,0.8032763659038469,0.7809499345294488,PFT6,Panamanian,Am,AFM,C,BWhWk
Virola_sebifera,Virola_sebifera,NA,20.49,0.7492787,1.286315052540686,-1.2487195658858055,0.8032763659038469,0.7809499345294488,PFT4,Panamanian,Am,AFM,D,Cfac
Terminalia_amazonia,Terminalia_amazonia,NA,17.01,1.13,1.286315052540686,-1.2487195658858055,0.8032763659038469,0.7809499345294488,PFT4,Panamanian,Am,AFM,B,BShSk
Aspidosperma_desmanthum,Aspidosperma_desmanthum,NA,17.4,0.77,0.8535818009677315,-1.1663818792544045,1.0899549390580707,0.8225364765984952,PFT4,Panamanian,Am,AFM,A,Afw
Carapa_guianensis,Carapa_guianensis,NA,10.91806889,0.696,0.8535818009677315,-1.1663818792544045,1.0899549390580707,0.8225364765984952,PFT4,Panamanian,Am,AFM,C,BWhWk
Erisma_blancoa,Erisma_blancoa,NA,12.57808745,0.4498,0.8535818009677315,-1.1663818792544045,1.0899549390580707,0.8225364765984952,PFT4,Panamanian,Am,AFM,A,Afw
Sterculia_costaricana,Sterculia_costaricana,NA,14.615,0.7512,0.8535818009677315,-1.1663818792544045,1.0899549390580707,0.8225364765984952,PFT6,Panamanian,Am,AFM,B,BShSk
Virola_koschnyi,Virola_koschnyi,NA,13.01921666,0.845,0.8535818009677315,-1.1663818792544045,1.0899549390580707,0.8225364765984952,PFT4,Panamanian,Am,AFM,D,Cfac
Cassipourea_guianensis,Cassipourea_guianensis,NA,17.2,0.9550191,0.8535818009677315,-1.1663818792544045,1.0899549390580707,0.8225364765984952,PFT4,Panamanian,Am,AFM,B,BShSk
Zygia_ramiflora,Zygia_ramiflora,NA,33.94,1.111,0.8535818009677315,-1.1663818792544045,1.0899549390580707,0.8225364765984952,PFT4,Panamanian,Am,AFM,A,Afw
Allophylus_camptostachys,Allophylus_camptostachys,9.345794393,11.29,1.28,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,C,BWhWk
Brosimum_alicastrum,Brosimum_alicastrum,15.72327044,21.32,1.3,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,B,BShSk
Bursera_simaruba,Bursera_simaruba,11.79245283,15.12,1.01,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT6,Panamanian,Af,AFM,C,BWhWk
Capparis_baducca,Capparis_baducca,17.98561151,16.34,1,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,A,Afw
Casearia_decandra,Casearia_decandra,15.92356688,20.94,0.84,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT6,Panamanian,Af,AFM,E,Cwac
Cecropia_obtusifolia,Cecropia_obtusifolia,12.72264631,22.08,1.22,0.7694392242729904,-0.8133896187455267,1.8627842394143872,1.1552288131508655,PFT4,Panamanian,Af,AFM,B,BShSk
